nb;en
Dette er ikke en autismetest;This is not an autism test.
Refleksjon;Reflection
Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.;This page shows what the absence of social, sensory, and routine-related friction can look like.
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.;It is not diagnostic. It can neither confirm nor rule out autism.
Kort om dette;About this
Spørsmål;Questions
Resultat;Result
Om dette;About this
Skift språk;Change language
Beregn resultat;Calculate result
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.;Move each slider to indicate how well the statement has applied to you over time.
Tolkning;Interpretation
Gjennomsnittsskår;Average score
Hva betyr skåren?;What does the score mean?
Forbehold;Reservations
En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.;A clinical assessment includes developmental history, daily functioning, and professional judgement.
Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.;People can have strong routines or clear sensory sensitivity without it being autism.
Stemmer ikke;Does not apply
Litt;A little
Delvis;Partly
Ganske;Quite a bit
Stemmer helt;Fully applies
Du må svare på alle utsagn før resultatet kan beregnes.;You must answer all statements before the result can be calculated.
Sendt;Sent
Foreløpige spørsmål om sosial, sensorisk og rutinemessig belastning. Disse tre spørsmålene brukes ikke i hovedskåren ennå.;Preliminary questions about social, sensory, and routine load. These three questions do not yet count toward the main score.
Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.;I rarely need to guess what people actually mean when they speak indirectly.
Jeg blir sjelden veldig urolig av brå endringer i planer.;I am rarely made very uneasy by sudden changes in plans.
Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.;Loud sounds, bright lights, or other sensory input rarely overwhelm me.
Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.;I usually manage social rules and expectations without having to think about them much.
Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.;I rarely need to prepare or rehearse what I am going to say in social situations.
Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.;I usually understand irony, humor, and indirect messages without much effort.
Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.;Social contact rarely drains me so much that I need a long time alone afterward.
Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.;I rarely need fixed routines to feel safe in everyday life.
Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.;I rarely become so absorbed in special interests that it gets in the way of other things I need to do.
Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.;I usually find eye contact, body language, and small social signals fairly natural to handle.
Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.;I rarely feel the need to mask or play a role in order to fit in socially.
Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.;Small changes in sequence or routine rarely make me clearly uneasy.
Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.;I rarely need to withdraw because sensory input becomes too much.
Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.;Your answers show few traits resembling the autism-relevant friction often seen in autism.
Hverdagen virker stabil og forutsigbar.;Everyday life appears stable and predictable.
Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.;Your pattern falls well within normal variation: some strengths, some friction, but nothing pointing clearly in one direction.
Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.;You report several traits that can resemble autism, but these may just as well reflect personality, experience, stress, or life circumstances.
Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.;You describe several areas that often create difficulties in autism. This is still not a diagnosis, but if these issues affect your daily life, a more formal assessment might be worthwhile.
