"nb","es"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Breve sobre la prueba"
"Spørsmål","Preguntas"
"Resultat","Resultado"
"Om testen","Sobre la prueba"
"Skift språk","Cambiar idioma"
"Beregn resultat","Calcular resultado"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Mueve cada control deslizante para indicar hasta qué punto la afirmación se ha ajustado a ti con el tiempo."
"Tolkning","Interpretación"
"Gjennomsnittsskår","Puntuación media"
"Hva betyr skåren?","¿Qué significa la puntuación?"
"Forbehold","Salvedades"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Una evaluación clínica incluye la historia del desarrollo, el funcionamiento diario y el juicio profesional."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Las personas pueden tener rutinas fuertes o una sensibilidad sensorial marcada sin que eso tenga que ver con el autismo."
"Stemmer ikke","No se aplica"
"Litt","Un poco"
"Delvis","Parcialmente"
"Ganske","Bastante"
"Stemmer helt","Se aplica por completo"
"Du må svare på alle utsagn før resultatet kan beregnes.","Debes responder a todas las afirmaciones antes de calcular el resultado."
"Sendt","Enviado"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Rara vez necesito adivinar lo que la gente quiere decir de verdad cuando habla de forma indirecta."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Rara vez me alteran mucho los cambios bruscos de planes."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Los ruidos fuertes, las luces intensas u otras sensaciones me abruman rara vez."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Por lo general, me manejo con las normas y expectativas sociales sin tener que pensarlo mucho."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Rara vez necesito preparar o ensayar lo que voy a decir en situaciones sociales."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Por lo general, entiendo la ironía, el humor y los mensajes indirectos sin mucho esfuerzo."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","El trato social rara vez me agota tanto como para necesitar mucho tiempo a solas después."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Rara vez necesito rutinas fijas para sentirme seguro en la vida cotidiana."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Rara vez me absorben tanto los intereses especiales como para que afecten otras cosas que tengo que hacer."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Por lo general, el contacto visual, el lenguaje corporal y las pequeñas señales sociales me resultan bastante naturales de manejar."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Rara vez siento la necesidad de enmascararme o interpretar un papel para encajar socialmente."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Los pequeños cambios de orden o de rutina rara vez me ponen claramente incómodo."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Rara vez necesito apartarme porque las sensaciones se vuelven demasiado intensas."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Tus respuestas muestran pocos rasgos que se parezcan a las fricciones relacionadas con el autismo que a menudo se ven en el autismo."
"Hverdagen virker stabil og forutsigbar.","La vida cotidiana parece estable y predecible."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Tu perfil está bien dentro de la variación normal: algunas fortalezas, algo de fricción, pero nada que apunte claramente en una dirección."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Informas varios rasgos que pueden parecerse al autismo, pero también pueden reflejar personalidad, experiencias, estrés o la situación de vida."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Describes varias áreas que a menudo crean dificultades en el autismo. Esto aún no es un diagnóstico, pero puede valer la pena una evaluación más formal si esto te causa problemas en la vida diaria."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Esta es una página simple de reflexión, no una prueba diagnóstica."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Pregunta por rasgos que a menudo se mencionan en relación con el autismo, especialmente la interpretación social, las sensaciones, las rutinas y el enmascaramiento."
"Den kan ikke bekrefte eller avkrefte autisme.","No puede confirmar ni descartar el autismo."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Está pensada para mostrar cómo puede verse un patrón con poca fricción social, sensorial y de rutina."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Si tienes dudas, o si esto afecta tu vida diaria, deberías hablar con profesionales."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","La puntuación es un promedio simple de las trece afirmaciones principales."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Una puntuación más alta significa que tus respuestas se parecen menos a un patrón con fricción social, sensorial y de rutina que suele describirse en el autismo."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Una puntuación más baja significa que tus respuestas se parecen más a ese patrón."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Esto no es un diagnóstico, y todavía no existe una norma fija para esta página. Usa la puntuación como punto de partida para reflexionar, no como respuesta definitiva."
