"nb","uk"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Коротко про тест"
"Spørsmål","Питання"
"Resultat","Результат"
"Om testen","Про тест"
"Skift språk","Змінити мову"
"Beregn resultat","Обчислити результат"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Перетягніть кожен повзунок, щоб вибрати, наскільки добре твердження відповідало вам з часом."
"Tolkning","Інтерпретація"
"Gjennomsnittsskår","Середній бал"
"Hva betyr skåren?","Що означає бал?"
"Forbehold","Застереження"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Клінічна оцінка включає історію розвитку, функціонування та професійне судження."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Люди можуть мати сильні рутини або помітну сенсорну чутливість, і це не обов’язково пов’язано з аутизмом."
"Stemmer ikke","Не підходить"
"Litt","Трохи"
"Delvis","Частково"
"Ganske","Досить"
"Stemmer helt","Повністю відповідає"
"Du må svare på alle utsagn før resultatet kan beregnes.","Ви повинні відповісти на всі твердження, перш ніж результат можна буде обчислити."
"Sendt","Надіслано"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Мені рідко доводиться здогадуватися, що люди насправді мають на увазі, коли говорять непрямо."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Мене рідко дуже непокоїть раптова зміна планів."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Гучні звуки, яскраве світло або інші сенсорні подразники рідко мене перевантажують."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Зазвичай я справляюся із соціальними правилами та очікуваннями, не замислюючись над ними надто багато."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Мені рідко потрібно готуватися або тренувати те, що я скажу в соціальних ситуаціях."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Зазвичай я без особливих зусиль розумію іронію, гумор і непрямі повідомлення."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Спілкування з людьми рідко виснажує мене настільки, що після цього мені потрібен довгий час наодинці."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Мені рідко потрібні чіткі рутини, щоб почуватися безпечно в повсякденному житті."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Мене рідко настільки захоплюють особливі інтереси, щоб це заважало іншим справам, які мені потрібно робити."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Зазвичай я сприймаю зоровий контакт, мову тіла й дрібні соціальні сигнали як цілком природні для себе."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Мені рідко потрібно маскуватися або грати роль, щоб соціально вписатися."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Малі зміни в порядку або рутинах рідко явно мене непокоять."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Мені рідко доводиться відходити убік, бо сенсорні відчуття стають надто сильними."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Ваші відповіді показують небагато рис, схожих на пов’язані з аутизмом труднощі, які часто бачать при аутизмі."
"Hverdagen virker stabil og forutsigbar.","Повсякденне життя виглядає стабільним і передбачуваним."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Ваш профіль добре вписується в нормальну варіацію: є сильні сторони, трохи тертя, але нічого, що чітко вказує в один бік."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Ви відзначаєте кілька рис, які можуть нагадувати аутизм, але це так само може бути пов’язано з особистістю, досвідом, стресом або життєвою ситуацією."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Ви описуєте кілька сфер, які часто створюють труднощі при аутизмі. Це все ще не діагноз, але може бути варто пройти більш формальну оцінку, якщо це створює проблеми в повсякденному житті."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Це проста сторінка для роздумів, не діагностичний тест."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Вона питає про риси, які часто згадують у зв’язку з аутизмом, особливо про соціальне тлумачення, відчуття, рутини та маскування."
"Den kan ikke bekrefte eller avkrefte autisme.","Вона не може підтвердити або виключити аутизм."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Вона створена, щоб показати, як може виглядати зразок із малою кількістю соціального, сенсорного й рутинного тертя."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Якщо ви не впевнені або якщо це впливає на повсякденне життя, варто поговорити з фахівцями."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Бал є простою середньою величиною тринадцяти основних тверджень."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Вищий бал означає, що ваші відповіді менше схожі на зразок із соціальним, сенсорним і рутинним тертям, який часто описують при аутизмі."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Нижчий бал означає, що ваші відповіді більше схожі на такий зразок."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Це не діагноз, і для цієї сторінки ще немає сталої норми. Використовуйте бал як відправну точку для роздумів, а не як остаточну відповідь."
